publication	study	subject	stimuli	pair	acoustic_cue	voicing	dur	sd	note	N
Fourakis_Iverson_1984	2	3	bunt	5	preceding vowel duration in ms	voiceless	219	15	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	bunt	5	preceding vowel duration in ms	voiceless	179	32	mean of 6 productions	6
Fourakis_Iverson_1984	1	1	lag	6	preceding vowel duration in ms	voiced	175	28	mean of 6 productions	6
Fourakis_Iverson_1984	1	2	lag	6	preceding vowel duration in ms	voiced	182	16	mean of 6 productions	6
Fourakis_Iverson_1984	1	3	lag	6	preceding vowel duration in ms	voiced	177	14	mean of 6 productions	6
Fourakis_Iverson_1984	1	4	lag	6	preceding vowel duration in ms	voiced	259	17	mean of 6 productions	6
Fourakis_Iverson_1984	1	1	stak	6	preceding vowel duration in ms	voiceless	NA	NA	mean of 6 productions	6
Fourakis_Iverson_1984	1	2	stak	6	preceding vowel duration in ms	voiceless	179	11	mean of 6 productions	6
Fourakis_Iverson_1984	1	3	stak	6	preceding vowel duration in ms	voiceless	168	27	mean of 6 productions	6
Fourakis_Iverson_1984	1	4	stak	6	preceding vowel duration in ms	voiceless	228	4	mean of 6 productions	6
Fourakis_Iverson_1984	2	1	Rad	7	preceding vowel duration in ms	voiced	293	15	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	Rad	7	preceding vowel duration in ms	voiced	303	29	mean of 5 productions	6
Fourakis_Iverson_1984	2	3	Rad	7	preceding vowel duration in ms	voiced	273	13	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	Rad	7	preceding vowel duration in ms	voiced	NA	NA	mean of 6 productions	6
Fourakis_Iverson_1984	2	1	Rat	7	preceding vowel duration in ms	voiceless	298	34	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	Rat	7	preceding vowel duration in ms	voiceless	266	17	mean of 6 productions	6
Fourakis_Iverson_1984	2	3	Rat	7	preceding vowel duration in ms	voiceless	230	22	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	Rat	7	preceding vowel duration in ms	voiceless	NA	NA	mean of 6 productions	6
Fourakis_Iverson_1984	2	1	Weck	8	preceding vowel duration in ms	voiceless	113	18	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	Weck	8	preceding vowel duration in ms	voiceless	106	11	mean of 6 productions	6
Fourakis_Iverson_1984	2	3	Weck	8	preceding vowel duration in ms	voiceless	101	3	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	Weck	8	preceding vowel duration in ms	voiceless	107	12	mean of 6 productions	6
Fourakis_Iverson_1984	2	1	weg	8	preceding vowel duration in ms	voiced	138	13	mean of 6 productions	6
Fourakis_Iverson_1984	2	2	weg	8	preceding vowel duration in ms	voiced	143	47	mean of 6 productions	6
Fourakis_Iverson_1984	2	3	weg	8	preceding vowel duration in ms	voiced	122	3	mean of 6 productions	6
Fourakis_Iverson_1984	2	4	weg	8	preceding vowel duration in ms	voiced	124	19	mean of 6 productions	6
