publication	elicitation_method	material	prosodic_position	condition	dur	sd	subject	voicing	note	acoustic_cue	N
Piroth_Janker_2004	read list	embedded	phrase-final	5	159	53	1	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	141	49	2	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	153	50	2	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	192	60	3	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	204	56	3	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	192	47	4	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	205	50	4	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	159	63	5	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	175	56	5	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	161	52	6	voiceless	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
Piroth_Janker_2004	read list	embedded	phrase-final	5	178	56	6	voiced	averaged over 13 words (including fricatives), 3 repetitions	preceding vowel duration in ms	39
