publication	condition	elicitation_method	material	prosodic_position	stimuli	pair	voicing	acoustic_cue	dur	sd	note	N
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	bunt	1	voiceless	nasal duration in ms	89.96	22.86	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	bunt	1	voiceless	nasal duration in ms	117.52	26.22	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	bunt	1	voiceless	nasal duration in ms	130.91	21.9	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	bunt	1	voiceless	preceding vowel duration in ms	73.23	13.54	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	bunt	1	voiceless	preceding vowel duration in ms	69.29	4.23	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	bunt	1	voiceless	preceding vowel duration in ms	98.03	16	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	bunt	1	voiceless	preceding vowel duration in ms	112.01	18	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	bunt	1	voiceless	preceding vowel duration in ms	127.36	18.65	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rad	2	voiced	burst duration in ms	20.08	9.54	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rad	2	voiced	burst duration in ms	16.54	7.61	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rad	2	voiced	burst duration in ms	32.87	23.46	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rad	2	voiced	burst duration in ms	25.2	19.89	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rad	2	voiced	burst duration in ms	59.06	40.51	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rad	2	voiced	closure voicing in pulses	2.4	1.26	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rad	2	voiced	closure voicing in pulses	2.8	1.14	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rad	2	voiced	closure voicing in pulses	2.8	1.01	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rad	2	voiced	closure voicing in pulses	2.15	1.04	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rad	2	voiced	closure voicing in pulses	2.2	0.62	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rad	2	voiced	clusure duration in ms	54.72	15.35	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rad	2	voiced	clusure duration in ms	50	12.03	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rad	2	voiced	clusure duration in ms	68.89	17.54	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rad	2	voiced	clusure duration in ms	86.22	20.71	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rad	2	voiced	clusure duration in ms	88.98	33.37	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rad	2	voiced	preceding vowel duration in ms	138.19	32.06	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rad	2	voiced	preceding vowel duration in ms	145.03	19.47	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rad	2	voiced	preceding vowel duration in ms	178.14	25.7	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rad	2	voiced	preceding vowel duration in ms	203.34	26.6	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rad	2	voiced	preceding vowel duration in ms	235.83	23.55	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rat	2	voiceless	burst duration in ms	25.59	5.94	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rat	2	voiceless	burst duration in ms	28.35	12.42	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rat	2	voiceless	burst duration in ms	39.37	22.2	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rat	2	voiceless	burst duration in ms	85.63	36.75	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rat	2	voiceless	burst duration in ms	66.51	34.07	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rat	2	voiceless	closure voicing in pulses	2.3	1.16	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rat	2	voiceless	closure voicing in pulses	2.8	1.03	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rat	2	voiceless	closure voicing in pulses	2.8	0.77	pooled across speakers	5
Port_Crawford_1989	3	dictate contrastive	embedded	mixed	Rat	2	voiceless	closure voicing in pulses	2.3	0.98	pooled across speakers	5
Port_Crawford_1989	4	read list	isolated words	phrase-final	Rat	2	voiceless	closure voicing in pulses	2.58	0.84	pooled across speakers	5
Port_Crawford_1989	1A	read list	embedded	word-final	Rat	2	voiceless	clusure duration in ms	59.84	10.3	pooled across speakers	5
Port_Crawford_1989	1B	repeat	embedded	word-final	Rat	2	voiceless	clusure duration in ms	54.72	8.6	pooled across speakers	5
Port_Crawford_1989	2	read contrastive	embedded	phrase-final	Rat	2	voiceless	clusure duration in ms	67.52	20.18	pooled across speakers	5
